Team,Season,off_pass_att,off_pass_cmp,off_cmp_pct,off_yds_per_att,off_pass_yds,off_pass_td,off_int,off_qb_rating,off_first_downs,off_first_down_pct,off_pass_20plus,off_pass_40plus,off_pass_long,off_sacks_taken,off_sack_yds_lost,off_rush_att,off_rush_yds,off_rush_avg,off_rush_td,off_rush_20plus,off_rush_40plus,off_rush_long,off_rush_1st,off_rush_1st_pct,off_rush_fum,off_rec,off_rec_yds,off_yds_per_rec,off_rec_td,off_rec_20plus,off_rec_40plus,off_rec_long,off_rec_1st,off_rec_1st_pct,off_rec_fum,off_total_td,off_2pt_conv,off_3rd_att,off_3rd_md,off_4th_att,off_4th_md,off_scrim_plays,def_pass_att,def_pass_cmp,def_pass_cmp_pct,def_pass_yds_per_att,def_pass_yds,def_pass_td_allowed,def_pass_int_made,def_opp_qb_rating,def_pass_1st,def_pass_1st_pct,def_pass_20plus_allowed,def_pass_40plus_allowed,def_pass_long_allowed,def_rush_att,def_rush_yds,def_rush_avg,def_rush_td_allowed,def_rush_20plus_allowed,def_rush_40plus_allowed,def_rush_long_allowed,def_rush_1st,def_rush_1st_pct,def_rush_fum_recovered,def_rec_allowed,def_rec_yds_allowed,def_yds_per_rec_allowed,def_rec_td_allowed,def_rec_20plus_allowed,def_rec_40plus_allowed,def_rec_long_allowed,def_rec_1st,def_rec_1st_pct,def_rec_fum_recovered,def_passes_defended,def_fum_td,def_safety,def_int_td,def_sacks,def_comb_tackles,def_assist_tackles,def_solo_tackles,def_3rd_att,def_3rd_md,def_4th_att,def_4th_md,def_scrim_plays,def_forced_fumbles,def_fum_recovered,def_int_yds,def_longest_play,st_fg_made,st_fg_pct,st_xp_made,st_xp_pct,st_kick_return_td,st_punt_return_td,made_playoffs,won_playoff,championship_win,superbowl_win,preseaon_power_rank,normalized_power_rank
49ers,2024,533,349,65.5,8.3,4424,23,16,93.1,204,38.3,66,11,76,36,187,457,2163,4.7,17,13,1,76,120,26.3,7,349,4424,12.7,23,66,11,76,210,60.2,5,42,0,197,84,16,8,1069,516,338,65.5,6.7,3476,25,11,92,181,35.1,39,5,97T,476,2118,4.4,24,11,4,65T,118,24.8,8,338,3476,10.3,25,39,5,97T,181,53.6,4,72,0,0,1,37,1042,400,635,216,93,26,17,1061,13,6,167,45T,33,76.7,38,95,0,0,0,0,0,0,2,0.5
Bears,2024,566,353,62.4,6.3,3552,20,7,86.8,172,30.4,40,6,47,68,466,431,1734,4,13,7,1,56T,97,22.5,4,353,3552,10.1,20,40,6,47,172,48.7,5,36,3,231,76,38,23,1090,503,325,64.6,7.9,3959,17,11,90.9,177,35.2,57,10,82T,485,2317,4.8,20,12,2,53T,129,26.6,5,325,3959,12.2,17,57,10,82T,177,54.5,6,66,0,0,1,40,1074,412,625,213,80,19,9,1071,17,13,87,43T,21,84,25,96.2,0,1,0,0,0,0,16,0.0625
Bengals,2024,652,460,70.6,7.5,4918,43,9,108.5,253,38.8,49,12,70T,48,278,380,1574,4.1,11,9,2,47T,88,23.2,6,460,4918,10.7,43,49,12,70,253,55,5,57,1,214,100,19,10,1113,573,372,64.9,7,4016,30,15,91.9,192,33.5,48,10,84T,479,2122,4.4,20,10,2,66,137,28.6,9,372,4016,10.8,30,48,10,84T,192,51.6,2,79,0,1,2,36,1100,441,634,207,87,27,16,1114,14,10,249,51T,25,75.8,51,96.2,1,0,0,0,0,0,6,0.166666667
Bills,2024,520,329,63.3,7.6,3938,30,6,100.8,181,34.8,56,11,69T,14,63,491,2230,4.5,32,13,4,65T,140,28.5,2,329,3938,12,30,56,11,69,181,55,2,65,1,202,89,22,16,1054,578,396,68.5,7.1,4100,28,16,93.4,217,37.5,43,4,67T,435,1963,4.5,13,11,3,87T,109,25.1,11,396,4100,10.4,28,43,4,67T,217,54.8,4,60,1,1,2,39,1085,405,623,201,88,32,17,1077,18,16,145,31,24,82.8,59,92.2,0,0,1,1,0,0,8,0.125
Broncos,2024,570,379,66.5,6.7,3808,30,12,94.1,172,30.2,52,6,93T,24,198,461,1908,4.1,12,10,1,43,124,26.9,5,379,3808,10,30,52,6,93,172,45.4,6,47,0,230,91,22,15,1089,606,393,64.8,6.8,4112,22,15,86.2,203,33.5,47,5,70T,424,1639,3.9,10,11,3,43,82,19.3,7,393,4112,10.5,22,47,5,70T,203,51.6,4,68,2,2,3,63,1105,426,648,236,88,30,16,1126,12,9,430,100,31,91.2,46,100,0,0,0,0,0,0,27,0.037037037
Browns,2024,661,395,59.8,5.9,3879,19,23,71.4,180,27.2,39,4,89T,66,373,391,1608,4.1,8,7,2,66,93,23.8,6,395,3879,9.8,19,39,4,89,180,45.6,2,29,5,237,70,44,24,1145,511,316,61.8,7.6,3878,26,4,98.9,176,34.4,56,9,93T,488,2205,4.5,22,22,4,75T,108,22.1,6,316,3878,12.3,26,56,9,93T,176,55.7,1,60,1,1,0,41,1039,373,636,224,81,18,8,1071,12,8,-2,0,18,66.7,18,85.7,0,0,0,0,0,0,14,0.071428571
Buccaneers,2024,571,408,71.4,7.9,4505,41,16,106.8,224,39.2,58,5,57T,40,248,483,2536,5.2,16,15,4,56,137,28.4,12,408,4505,11,41,58,5,57,224,54.9,6,59,1,216,110,14,9,1126,630,418,66.4,7.1,4464,27,7,96.6,212,33.6,54,9,59,389,1663,4.3,13,9,3,81,94,24.2,10,418,4464,10.7,27,54,9,59,212,50.7,6,61,1,1,0,46,1030,364,648,210,80,30,19,1109,16,11,28,17,30,93.8,54,96.4,0,0,0,0,0,0,20,0.05
Cardinals,2024,543,374,68.9,7.1,3859,21,11,93.5,191,35.2,43,3,60T,30,220,463,2451,5.3,18,17,7,53,136,29.4,9,374,3859,10.3,21,43,3,60,191,51.1,5,42,3,193,83,18,8,1074,539,370,68.6,7.3,3930,20,9,95.1,200,37.1,46,6,53,465,2149,4.6,18,12,2,51T,124,26.7,7,370,3930,10.6,20,46,6,53,200,54,7,63,0,2,0,41,1128,481,604,208,91,24,14,1083,17,8,12,10,34,89.5,36,97.3,1,0,0,0,0,0,24,0.041666667
Chargers,2024,510,336,65.9,7.6,3901,23,3,101.4,176,34.5,54,7,66T,44,270,463,1882,4.1,17,11,5,61,110,23.8,5,336,3901,11.6,23,54,7,66,176,52.4,4,41,3,221,89,16,10,1059,565,367,65,6.7,3762,24,15,87,170,30.1,48,8,60,426,1997,4.7,7,13,3,54,108,25.4,6,367,3762,10.2,24,48,8,60,170,46.3,1,87,0,0,1,46,1030,380,642,224,80,29,18,1074,8,6,173,61T,39,92.9,33,91.7,0,0,0,0,0,0,13,0.076923077
Chiefs,2024,600,404,67.3,6.7,4046,26,11,93.1,219,36.5,42,4,54T,41,266,450,1790,4,15,7,0,34T,106,23.6,4,404,4046,10,26,41,4,54,219,54.2,2,42,0,229,111,17,12,1128,569,375,65.9,7,3970,24,13,90.6,191,33.6,52,10,58T,418,1731,4.1,13,8,1,62T,112,26.8,4,375,3970,10.6,24,52,10,58T,191,50.9,4,71,1,0,0,39,999,353,649,215,93,23,12,1057,15,7,102,47,32,86.5,37,94.9,0,0,1,1,1,0,1,1
